World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
1785 Top 8.7%,Kansai Medical University,Japan,102,-,-,-,1715,66.7
1786 Top 8.7%,Mae Fah Luang University,Thailand,10,-,-,-,1716,66.7
1787 Top 8.8%,Eulji University,South Korea,55,-,-,-,1717,66.7
1788 Top 8.8%,St. John's University,USA,309,-,216,-,-,66.7
1789 Top 8.8%,University of Jammu,India,51,-,-,-,1718,66.7
1790 Top 8.8%,Dongbei University of Finance and Economics,China,277,-,155,-,-,66.7
1791 Top 8.8%,Polytechnic Institute of Porto,Portugal,13,-,-,-,1719,66.7
1792 Top 8.8%,M.M. Shemyakin and Y.A. Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,Russia,36,-,-,-,1720,66.7
1793 Top 8.8%,Autonomous University of Chile,Chile,13,-,-,-,1721,66.7
1794 Top 8.8%,Kennesaw State University,USA,310,-,-,-,1723,66.7
1795 Top 8.8%,Polytechnic University of Cartagena,Spain,51,-,-,-,1724,66.7
1796 Top 8.8%,Liaoning Normal University,China,278,-,1218,-,1729,66.7
1797 Top 8.8%,New Mexico Institute of Mining and Technology,USA,311,-,-,-,1726,66.7
1798 Top 8.8%,Eskişehir Osmangazi University,Turkey,43,-,-,-,1727,66.7
1799 Top 8.8%,Liaoning University of Technology,China,279,-,-,-,1728,66.7
1800 Top 8.8%,Qingdao University of Technology,China,280,-,-,-,1730,66.7
1801 Top 8.8%,Manisa Celal Bayar University,Turkey,44,-,-,-,1731,66.7
1802 Top 8.8%,V.M. Glushkov Institute of Cybernetics of the National Academy of Sciences of Ukraine,Ukraine,5,-,-,-,1732,66.7
1803 Top 8.8%,Mazandaran University of Medical Sciences,Iran,34,-,-,-,1733,66.7
1804 Top 8.8%,Technical University of Ostrava,Czech Republic,10,-,648,-,1779,66.7
1805 Top 8.8%,East Tennessee State University,USA,312,-,-,-,1734,66.7
1806 Top 8.8%,Sohag University,Egypt,18,-,-,-,1735,66.7
1807 Top 8.9%,South Dakota School of Mines and Technology,USA,313,136,-,-,1976,66.7
1808 Top 8.9%,Anhui University of Science and Technology,China,281,-,1219,-,1742,66.7
1809 Top 8.9%,Ningxia Medical University,China,282,-,-,-,1736,66.7
1810 Top 8.9%,Brooklyn College,USA,314,137,1614,-,1973,66.6
1811 Top 8.9%,Jazan University,Saudi Arabia,13,-,-,-,1737,66.6
1812 Top 8.9%,Dokkyo Medical University,Japan,103,-,-,-,1738,66.6
1813 Top 8.9%,East China University of Technology,China,283,-,-,-,1739,66.6
1814 Top 8.9%,Embry-Riddle Aeronautical University,USA,315,-,1500,-,1741,66.6
1815 Top 8.9%,Taizhou University,China,284,-,-,-,1740,66.6
1816 Top 8.9%,College of Charleston,USA,316,-,-,-,1743,66.6
1817 Top 8.9%,Catholic University of Daegu,South Korea,56,-,-,-,1744,66.6
1818 Top 8.9%,University of Mazandaran,Iran,35,-,-,-,1745,66.6
1819 Top 8.9%,Sakarya University,Turkey,45,-,-,-,1746,66.6
1820 Top 8.9%,University of Talca,Chile,14,-,-,-,1747,66.6
1821 Top 8.9%,Kawasaki Medical School,Japan,104,-,-,-,1748,66.6
1822 Top 8.9%,University of the Highlands and Islands,United Kingdom,89,-,-,-,1749,66.6
1823 Top 8.9%,Yancheng Institute of Technology,China,285,-,-,-,1750,66.6
1824 Top 8.9%,Tribhuvan University,Nepal,1,-,-,-,1751,66.6
1825 Top 8.9%,Iwate University,Japan,105,-,-,-,1752,66.6
1826 Top 8.9%,Cracow University of Technology,Poland,35,-,-,-,1754,66.6
1827 Top 8.9%,Edinburgh Napier University,United Kingdom,90,-,-,-,1755,66.6
1828 Top 9%,Binzhou Medical University,China,286,-,-,-,1756,66.6
1829 Top 9%,Jackson State University,USA,317,-,-,-,1757,66.6
1830 Top 9%,University of Toulon,France,68,-,-,-,1758,66.6
1831 Top 9%,Anadolu University,Turkey,46,-,-,-,1760,66.6
1832 Top 9%,University of the Philippines Diliman,Philippines,3,-,-,-,1761,66.6
1833 Top 9%,Karlstad University,Sweden,16,-,1289,-,1764,66.6
1834 Top 9%,East China Jiaotong University,China,287,-,1445,-,1762,66.6
1835 Top 9%,Federal University of Ouro Preto,Brazil,48,-,-,-,1763,66.6
1836 Top 9%,Idaho State University,USA,318,460,-,-,1768,66.6
1837 Top 9%,A.M. Prokhorov General Physics Institute of the Russian Academy of Sciences,Russia,37,-,-,-,1765,66.5
1838 Top 9%,Federal University of Alagoas,Brazil,49,-,-,-,1766,66.5
1839 Top 9%,Sanjay Gandhi Postgraduate Institute of Medical Sciences,India,52,-,-,-,1767,66.5
1840 Top 9%,Chengdu University of Information Technology,China,288,-,1606,-,1769,66.5
1841 Top 9%,Harbin Normal University,China,289,-,1538,-,1770,66.5
1842 Top 9%,Technological Institute of Aeronautics,Brazil,50,-,156,-,-,66.5
1843 Top 9%,Cooper Union,USA,319,48,675,-,-,66.5
1844 Top 9%,University of Bialystok,Poland,36,-,-,-,1771,66.5
1845 Top 9%,Tunghai University,Taiwan,30,-,1401,-,1775,66.5
1846 Top 9%,University of Science and Technology Liaoning,China,290,-,824,-,1789,66.5
1847 Top 9%,Jönköping University,Sweden,17,-,1553,-,1776,66.5
1848 Top 9.1%,"Institute of Chemical Technology, Mumbai",India,53,-,-,-,1777,66.5
1849 Top 9.1%,Hubei University of Medicine,China,291,-,-,-,1778,66.5
1850 Top 9.1%,Suez University,Egypt,19,-,-,-,1781,66.5
1851 Top 9.1%,Kettering University,USA,320,-,79,-,-,66.5
1852 Top 9.1%,Riga Technical University,Latvia,2,-,-,-,1782,66.5
1853 Top 9.1%,University of Rzeszów,Poland,37,-,-,-,1783,66.5
1854 Top 9.1%,Air Force Engineering University,China,292,-,-,-,1784,66.5
1855 Top 9.1%,University of Bergamo,Italy,65,-,-,-,1786,66.5
1856 Top 9.1%,Autonomous University of Sinaloa,Mexico,14,-,-,-,1787,66.5
1857 Top 9.1%,Shanxi Normal University,China,293,-,-,-,1788,66.5
1858 Top 9.1%,Union College,USA,321,175,126,-,-,66.5
1859 Top 9.1%,Meiji University,Japan,106,-,657,-,1833,66.5
1860 Top 9.1%,Çankaya University,Turkey,47,-,-,-,1790,66.5
1861 Top 9.1%,"West Pomeranian University of Technology, Szczecin",Poland,38,-,-,-,1791,66.5
1862 Top 9.1%,"Indian Institute of Science Education and Research, Bhopal",India,54,-,-,-,1792,66.5
1863 Top 9.1%,Shaoxing University,China,294,-,-,-,1793,66.5
1864 Top 9.1%,IHE Delft Institute for Water Education,Netherlands,14,-,-,-,1794,66.4
1865 Top 9.1%,Oita University,Japan,107,-,-,-,1795,66.4
1866 Top 9.1%,Punjab Agricultural University,India,55,272,-,-,1840,66.4
1867 Top 9.1%,Wuhan Textile University,China,295,-,-,-,1797,66.4
1868 Top 9.1%,Dalian Polytechnic University,China,296,-,1206,-,1803,66.4
1869 Top 9.2%,National University of the South,Argentina,8,-,-,-,1798,66.4
1870 Top 9.2%,SASTRA,India,56,-,-,-,1799,66.4
1871 Top 9.2%,Jiangxi University of Finance and Economics,China,297,-,733,-,1834,66.4
1872 Top 9.2%,Towson University,USA,322,-,795,-,1828,66.4
1873 Top 9.2%,Kaunas University of Technology,Lithuania,3,-,-,-,1800,66.4
1874 Top 9.2%,"Institute of Physical Chemistry, Polish Academy of Sciences",Poland,39,-,-,-,1801,66.4
1875 Top 9.2%,University of Lagos,Nigeria,3,-,-,-,1802,66.4
1876 Top 9.2%,Franklin & Marshall College,USA,323,117,549,-,-,66.4
1877 Top 9.2%,Japan Advanced Institute of Science and Technology,Japan,108,-,-,-,1804,66.4
1878 Top 9.2%,Mediterranean University of Reggio Calabria,Italy,66,-,-,-,1805,66.4
1879 Top 9.2%,Polytechnic University of Hauts-de-France,France,69,-,-,-,1806,66.4
1880 Top 9.2%,Shiraz University of Technology,Iran,36,-,-,-,1807,66.4
1881 Top 9.2%,Ahmadu Bello University,Nigeria,4,-,1411,-,1810,66.4
1882 Top 9.2%,La Rochelle University,France,70,-,-,-,1808,66.4
1883 Top 9.2%,Naval Postgraduate School,USA,324,-,1083,-,1815,66.4
1884 Top 9.2%,Pamukkale University,Turkey,48,-,-,-,1809,66.4
1885 Top 9.2%,University of Nova Gorica,Slovenia,3,-,-,-,1811,66.4
1886 Top 9.2%,Kyoto Sangyo University,Japan,109,-,1240,251,-,66.4
1887 Top 9.2%,Saint Mary's University,Canada,39,-,1273,-,1813,66.4
1888 Top 9.2%,Chengdu University of Traditional Chinese Medicine,China,298,-,-,-,1812,66.4
1889 Top 9.3%,Mid Sweden University,Sweden,18,-,1631,-,1814,66.4
1890 Top 9.3%,WHU – Otto Beisheim School of Management,Germany,69,-,114,-,-,66.4
1891 Top 9.3%,Federal University of Piauí,Brazil,51,-,-,-,1816,66.3
1892 Top 9.3%,A.N. Nesmeyanov Institute of Organoelement Compounds of the Russian Academy of Sciences,Russia,38,-,-,-,1817,66.3
1893 Top 9.3%,Lebanese University,Lebanon,2,-,-,-,1818,66.3
1894 Top 9.3%,Bandung Institute of Technology,Indonesia,2,-,550,-,1900,66.3
1895 Top 9.3%,Rajiv Gandhi University of Health Sciences,India,57,-,-,-,1819,66.3
1896 Top 9.3%,University of Ostrava,Czech Republic,11,-,-,-,1820,66.3
1897 Top 9.3%,Institute of Ecology (INECOL),Mexico,15,-,-,-,1821,66.3
1898 Top 9.3%,American University in Cairo,Egypt,20,-,235,-,-,66.3
1899 Top 9.3%,University of Rajasthan,India,58,-,1655,-,1822,66.3
1900 Top 9.3%,University of Karachi,Pakistan,10,-,-,-,1823,66.3
1901 Top 9.3%,University of Alaska Anchorage,USA,325,-,-,-,1824,66.3
1902 Top 9.3%,Federal University of Campina Grande,Brazil,52,-,-,-,1825,66.3
1903 Top 9.3%,Hanoi University of Science and Technology,Vietnam,5,-,-,-,1826,66.3
1904 Top 9.3%,"Indian Institute of Science Education and Research, Mohali",India,59,-,-,-,1827,66.3
1905 Top 9.3%,University of Madras,India,60,348,560,-,1921,66.3
1906 Top 9.3%,Far Eastern Federal University,Russia,39,-,-,-,1829,66.3
1907 Top 9.3%,Qassim University,Saudi Arabia,14,-,-,-,1830,66.3
1908 Top 9.3%,Institute for Scintillation Materials,Ukraine,6,-,-,-,1831,66.3
1909 Top 9.3%,Nara Women's University,Japan,110,-,-,-,1832,66.3
1910 Top 9.4%,ESCP Business School,France,71,-,97,-,-,66.3
1911 Top 9.4%,Baqiyatallah University of Medical Sciences,Iran,37,-,-,-,1835,66.3
1912 Top 9.4%,Shahrood University of Technology,Iran,38,-,-,-,1836,66.3
1913 Top 9.4%,National Defense Medical College,Japan,111,-,-,-,1837,66.3
1914 Top 9.4%,Federal Rural University of Rio de Janeiro,Brazil,53,-,-,-,1838,66.3
1915 Top 9.4%,University of Valle,Colombia,7,-,-,-,1839,66.3
1916 Top 9.4%,Guru Nanak Dev University,India,61,-,1540,-,1841,66.3
1917 Top 9.4%,Hankuk University of Foreign Studies,South Korea,57,-,363,-,1996,66.3
1918 Top 9.4%,University of South Wales,United Kingdom,91,-,720,-,1878,66.3
1919 Top 9.4%,N.D. Zelinsky Institute of Organic Chemistry of the Russian Academy of Sciences,Russia,40,-,-,-,1842,66.2
1920 Top 9.4%,Muhimbili University of Health and Allied Sciences,Tanzania,1,-,-,-,1843,66.2
1921 Top 9.4%,Qinghai University,China,299,-,-,-,1844,66.2
1922 Top 9.4%,Eastern Mediterranean University,Northern Cyprus,2,-,-,-,1845,66.2
1923 Top 9.4%,Başkent University,Turkey,49,-,1402,-,1846,66.2
1924 Top 9.4%,Bond University,Australia,39,-,1399,-,1847,66.2
1925 Top 9.4%,Josip Juraj Strossmayer University of Osijek,Croatia,4,-,-,-,1848,66.2
1926 Top 9.4%,"Victor Babeș University of Medicine and Pharmacy, Timișoara",Romania,9,-,-,-,1849,66.2
1927 Top 9.4%,Adolfo Ibáñez University,Chile,15,-,741,-,1886,66.2
1928 Top 9.4%,University of Sousse,Tunisia,5,-,-,-,1851,66.2
1929 Top 9.4%,Mälardalen University,Sweden,19,-,-,-,1852,66.2
1930 Top 9.5%,University of Science and Technology Houari Boumediene,Algeria,1,-,-,-,1853,66.2
1931 Top 9.5%,Reichman University,Israel,9,-,513,-,1948,66.2
1932 Top 9.5%,Institut supérieur de l'aéronautique et de l'espace,France,72,-,180,-,-,66.2
1933 Top 9.5%,National Yunlin University of Science and Technology,Taiwan,31,-,-,-,1854,66.2
1934 Top 9.5%,Leeds Beckett University,United Kingdom,92,-,-,-,1855,66.2
1935 Top 9.5%,"Indian Institute of Science Education and Research, Thiruvananthapuram",India,62,-,-,-,1856,66.2
1936 Top 9.5%,"University of Puerto Rico, Río Piedras Campus",USA,326,-,-,-,1857,66.2
1937 Top 9.5%,Dalarna University,Sweden,20,-,-,-,1858,66.2
1938 Top 9.5%,Florida Agricultural and Mechanical University,USA,327,-,-,-,1859,66.2
1939 Top 9.5%,Federal University of Amazonas,Brazil,54,-,-,-,1860,66.2
1940 Top 9.5%,Kyoto Institute of Technology,Japan,112,-,-,-,1861,66.2
1941 Top 9.5%,Hamilton College,USA,328,82,255,-,-,66.2
1942 Top 9.5%,Inner Mongolia Agricultural University,China,300,-,894,-,1881,66.2
1943 Top 9.5%,University of Technology of Compiègne,France,73,-,-,-,1862,66.2
1944 Top 9.5%,Kharazmi University,Iran,39,-,-,-,1863,66.2
1945 Top 9.5%,University of Burgos,Spain,52,-,-,-,1864,66.2
1946 Top 9.5%,An-Najah National University,Palestine,1,-,-,-,1866,66.2
1947 Top 9.5%,University of Veracruz,Mexico,16,-,-,-,1867,66.1
1948 Top 9.5%,Bahir Dar University,Ethiopia,5,-,-,-,1868,66.1
1949 Top 9.5%,Northeast Petroleum University,China,301,-,1631,-,1869,66.1
1950 Top 9.5%,Technical University of Crete,Greece,12,-,-,-,1870,66.1
1951 Top 9.6%,Drew University,USA,329,-,606,128,-,66.1
1952 Top 9.6%,Huaiyin Normal University,China,302,-,-,-,1871,66.1
1953 Top 9.6%,Yasouj University,Iran,40,-,-,-,1872,66.1
1954 Top 9.6%,Sinop University,Turkey,50,-,-,-,1873,66.1
1955 Top 9.6%,Siberian Federal University,Russia,41,-,1672,-,1874,66.1
1956 Top 9.6%,University of La Réunion,France,74,-,-,-,1875,66.1
1957 Top 9.6%,"Graduate School & Training Center, Research Institute of Petroleum Exploration and Development",China,303,-,71,-,-,66.1
1958 Top 9.6%,Giresun University,Turkey,51,-,-,-,1877,66.1
1959 Top 9.6%,Jianghan University,China,304,-,-,-,1879,66.1
1960 Top 9.6%,Zunyi Medical University,China,305,-,-,-,1880,66.1
1961 Top 9.6%,University of Sonora,Mexico,17,-,-,-,1882,66.1
1962 Top 9.6%,University of Shizuoka,Japan,113,-,1127,-,1891,66.1
1963 Top 9.6%,Lanzhou Jiaotong University,China,306,-,-,-,1883,66.1
1964 Top 9.6%,Hebei University of Science and Technology,China,307,-,-,-,1884,66.1
1965 Top 9.6%,Gadjah Mada University,Indonesia,3,-,-,-,1885,66.1
1966 Top 9.6%,Nanjing University of Finance & Economics,China,308,-,-,-,1887,66.1
1967 Top 9.6%,Kanagawa University,Japan,114,-,-,-,1888,66.1
1968 Top 9.6%,University of Wolverhampton,United Kingdom,93,-,-,-,1889,66.1
1969 Top 9.6%,Hanoi Medical University,Vietnam,6,-,-,-,1890,66.1
1970 Top 9.6%,National Chiayi University,Taiwan,32,-,-,-,1892,66.1
1971 Top 9.7%,Çağ University,Turkey,52,-,-,-,1893,66.1
1972 Top 9.7%,A.V. Nikolaev Institute of Inorganic Chemistry of the Siberian Branch of the Russian Academy of Sciences,Russia,42,-,-,-,1894,66.1
1973 Top 9.7%,Indian Institute of Technology Ropar,India,63,-,-,-,1895,66.1
1974 Top 9.7%,University of Tabuk,Saudi Arabia,15,-,-,-,1896,66.1
1975 Top 9.7%,University of Winnipeg,Canada,40,-,-,-,1897,66.0
1976 Top 9.7%,University of Artois,France,75,-,-,-,1898,66.0
1977 Top 9.7%,Gansu Agricultural University,China,309,-,-,-,1899,66.0
1978 Top 9.7%,University of New Orleans,USA,330,-,-,-,1901,66.0
1979 Top 9.7%,King Faisal University,Saudi Arabia,16,-,-,-,1903,66.0
1980 Top 9.7%,Kerman University of Medical Sciences,Iran,41,-,-,-,1904,66.0
1981 Top 9.7%,University of Malaysia Pahang,Malaysia,9,-,-,-,1905,66.0
1982 Top 9.7%,İnönü University,Turkey,53,-,-,-,1906,66.0
1983 Top 9.7%,National United University,Taiwan,33,-,-,-,1907,66.0
1984 Top 9.7%,"Institute of Physics, Polish Academy of Sciences",Poland,40,-,-,-,1908,66.0
1985 Top 9.7%,Wellesley College,USA,331,-,779,-,1935,66.0
1986 Top 9.7%,Wuyi University,China,310,-,-,-,1910,66.0
1987 Top 9.7%,IFP School,France,76,-,73,-,-,66.0
1988 Top 9.7%,Huaibei Normal University,China,311,-,-,-,1911,66.0
1989 Top 9.7%,South Ural State University,Russia,43,-,1134,-,1918,66.0
1990 Top 9.7%,Ss. Cyril and Methodius University in Skopje,North Macedonia,1,-,-,-,1912,66.0
1991 Top 9.7%,Hunan University of Technology,China,312,-,-,-,1913,66.0
1992 Top 9.8%,Zurich University of Applied Sciences (ZHAW),Switzerland,13,-,909,-,1927,66.0
1993 Top 9.8%,Technical University of Košice,Slovak Republic,4,-,-,-,1914,66.0
1994 Top 9.8%,Guangdong Ocean University,China,313,-,-,-,1915,66.0
1995 Top 9.8%,"University of Djillali Liabès, Sidi Bel-Abbès",Algeria,2,-,-,-,1916,66.0
1996 Top 9.8%,Chongqing Jiaotong University,China,314,-,-,-,1917,66.0
1997 Top 9.8%,University of Arkansas at Little Rock,USA,332,-,1322,-,1920,66.0
1998 Top 9.8%,Van Yüzüncü Yıl University,Turkey,54,-,-,-,1919,66.0
1999 Top 9.8%,Bharathidasan University,India,64,-,-,-,1922,66.0
2000 Top 9.8%,Gebze Technical University,Turkey,55,-,-,-,1923,66.0
